,address,district,S.A ft,deal date,deal price
184,Century Link・Phase 2・Tower 2A・Upper Floor・Flat 3,Tung Chung Town Centre,S.A. 482 ft²,"
                2022-04-22
              ","$  13,800"
185,Mayfair By The Sea・I・Tower 21・Lower Floor・Flat A,Pak Shek Kok | Tai Po Mid-levels,S.A. 945 ft²,"
                2022-04-22
              ","$  40,000"
186,Fortress Metro Tower・Tower C・Upper Floor・Flat 4,North Point,S.A. 396 ft²,"
                2022-04-22
              ","$  16,500"
187,Kar On House・Lower Floor・Flat B,North Point,S.A. 347 ft²,"
                2022-04-22
              ","$  12,800"
188,Century Link・Phase 2・Tower 2A・Upper Floor・Flat 8,Tung Chung Town Centre,S.A. 379 ft²,"
                2022-04-22
              ","$  11,000"
189,Scenic Horizon・Middle Floor・Flat C,Sai Wan Ho,S.A. 368 ft²,"
                2022-04-22
              ","$  15,300"
190,Taikoo Shing・Tsui Woo Terrace・(T-02) Poyang Mansion・Upper Floor・Flat A,Taikoo Shing,S.A. 583 ft²,"
                2022-04-22
              ","$  19,900"
191,The Avenue・Phase 2・Tower 3・Upper Floor・Flat B,Wan Chai,S.A. 535 ft²,"
                2022-04-22
              ","$  31,000"
192,Tuen Mun Fa Yuen・Middle Floor・Flat F,Chi Lok,S.A. 320 ft²,"
                2022-04-22
              ","$  8,800"
193,The Mount・Upper Floor・No. 63,Wan Chai,S.A. 548 ft²,"
                2022-04-22
              ","$  14,500"
194,South Coast・Lower Floor・Flat B,Tin Wan,S.A. 254 ft²,"
                2022-04-22
              ","$  13,000"
