,Floor,SA (ft2),Price(HK$),Price/ft2(SA),Date,District
312,L,522,14200,27.2,2022-01-06,Yau Tong
313,M,213,9500,44.6,2022-01-05,Tseung Kwan O
314,M,589,13000,22.07,2022-01-05,Tseung Kwan O
315,H,297,11000,37.04,2022-01-05,Aberdeen
316,H,211,9200,43.6,2022-01-04,Tseung Kwan O
317,M,559,19000,33.99,2022-01-04,Aberdeen
318,L,372,15500,41.67,2022-01-04,Tseung Kwan O
319,H,720,23500,32.64,2022-01-03,Lam Tin
320,L,517,13500,26.11,2022-01-03,Yau Tong
321,M,325,12500,38.46,2022-01-03,Aberdeen
322,H,522,15500,29.69,2022-01-03,Tseung Kwan O
323,H,368,14000,38.04,2022-01-03,Tseung Kwan O
324,H,608,19000,31.25,2022-01-03,Tseung Kwan O
325,M,423,12000,28.37,2022-01-02,Aberdeen
326,M,517,15300,29.59,2022-01-01,Yau Tong
327,H,438,16000,36.53,2022-01-01,Aberdeen
328,M,626,21500,34.35,2022-01-01,Tseung Kwan O
329,M,687,21000,30.57,2021-12-31,Yau Tong
330,M,517,15000,29.01,2021-12-31,Yau Tong
331,M,517,16500,31.91,2021-12-31,Yau Tong
332,H,748,21000,28.07,2021-12-31,Yau Tong
333,L,517,13500,26.11,2021-12-31,Yau Tong
334,H,517,15000,29.01,2021-12-31,Yau Tong
335,H,687,20000,29.11,2021-12-31,Yau Tong
336,M,517,15000,29.01,2021-12-31,Yau Tong
337,L,517,14000,27.08,2021-12-31,Yau Tong
338,M,522,15800,30.27,2021-12-31,Yau Tong
339,H,517,17200,33.27,2021-12-31,Yau Tong
340,H,284,12000,42.25,2021-12-30,Aberdeen
341,L,355,13000,36.62,2021-12-29,Aberdeen
343,H,684,22500,32.89,2021-12-28,Tseung Kwan O
344,L,556,15000,26.98,2021-12-26,Tseung Kwan O
345,H,619,19500,31.5,2021-12-26,Tseung Kwan O
346,M,401,13000,32.42,2021-12-26,Tseung Kwan O
347,H,386,15800,40.93,2021-12-25,Aberdeen
348,M,748,22800,30.48,2021-12-24,Yau Tong
349,L,381,10500,27.56,2021-12-23,Tseung Kwan O
350,H,530,15000,28.3,2021-12-22,Tseung Kwan O
351,H,440,16800,38.18,2021-12-22,Tseung Kwan O
352,M,401,13000,32.42,2021-12-21,Tseung Kwan O
353,H,714,19000,26.61,2021-12-21,Tseung Kwan O
354,L,546,13500,24.73,2021-12-20,Tseung Kwan O
356,L,285,11000,38.6,2021-12-19,Aberdeen
358,H,530,14000,26.42,2021-12-18,Tseung Kwan O
359,M,431,14000,32.48,2021-12-18,Tseung Kwan O
360,H,463,15700,33.91,2021-12-18,Tseung Kwan O
361,L,645,16000,24.81,2021-12-18,Tseung Kwan O
362,L,517,13000,25.15,2021-12-17,Yau Tong
363,M,195,9500,48.72,2021-12-17,Aberdeen
364,H,402,11000,27.36,2021-12-17,Aberdeen
366,H,559,19000,33.99,2021-12-16,Aberdeen
367,L,687,20000,29.11,2021-12-16,Yau Tong
368,L,537,17000,31.66,2021-12-15,Lam Tin
369,H,304,11000,36.18,2021-12-15,Aberdeen
370,L,1270,41000,32.28,2021-12-14,Yau Tong
371,L,1204,38000,31.56,2021-12-14,Yau Tong
372,H,687,19000,27.66,2021-12-14,Yau Tong
373,H,429,13500,31.47,2021-12-13,Tseung Kwan O
374,H,384,13000,33.85,2021-12-13,Aberdeen
375,L,432,14300,33.1,2021-12-13,Aberdeen
376,H,401,12300,30.67,2021-12-12,Tseung Kwan O
377,M,354,13000,36.72,2021-12-11,Tseung Kwan O
378,L,576,22000,38.19,2021-12-11,Aberdeen
380,H,407,13200,32.43,2021-12-10,Aberdeen
381,H,304,11000,36.18,2021-12-10,Aberdeen
383,M,466,16000,34.33,2021-12-08,Tseung Kwan O
384,H,401,14500,36.16,2021-12-07,Pokfulam
385,L,539,15500,28.76,2021-12-07,Tseung Kwan O
386,H,377,15000,39.79,2021-12-07,Tseung Kwan O
387,H,503,17500,34.79,2021-12-07,Tseung Kwan O
388,L,748,22000,29.41,2021-12-06,Yau Tong
