District,SA (ft2),Price(HK$),Date,Floor,Price/ft2(SA),Estate,District1
Siu Lek Yuen,393,16000,2022-04-23 00:00:00,M,40.71,Prima Villa,SHA TIN
Tai Kok Tsui,368,15000,2022-04-23 00:00:00,M,40.76,Metro Harbour View,YAU TSIM MONG
Po Lam,363,13500,2022-04-23 00:00:00,H,37.19,The Metro City,SAI KUNG
Tin Shui Wai,504,11300,2022-04-23 00:00:00,L,22.42,Central Park Towers,YUEN LONG
Lohas Park,422,15000,2022-04-23 00:00:00,H,35.55,Lohas Park,SAI KUNG
Ma On Shan,313,15500,2022-04-23 00:00:00,H,49.52,Blossom,EASTERN
Tung Chung Town Centre,550,13800,2022-04-23 00:00:00,M,25.09,Caribbean Coast,ISLANDS
Tsing Yi,465,15500,2022-04-23 00:00:00,H,33.33,Grand Horizon,KWAI TSING
Shap Pat Heung,598,15500,2022-04-23 00:00:00,H,25.92,Park Signature,YUEN LONG
Lam Tin,517,15500,2022-04-23 00:00:00,L,29.98,Laguna City,KWUN TONG
Kam Tin,583,15000,2022-04-23 00:00:00,H,25.73,Park Yoho,YUEN LONG
Tsing Yi,368,12300,2022-04-23 00:00:00,L,33.42,Greenfield Garden,KWAI TSING
Sai Ying Pun,269,16000,2022-04-22 00:00:00,M,59.48,Artlane,CENTRAL & WESTERN
Quarry Bay,894,22000,2022-04-22 00:00:00,M,24.61,Westlands Gardens,EASTERN
Sham Tseng,968,28000,2022-04-22 00:00:00,M,28.93,Bellagio,TSUEN WAN
Discovery Bay,439,13500,2022-04-22 00:00:00,L,30.75,Discovery Bay,ISLANDS
Tiu Keng Leng,678,21500,2022-04-22 00:00:00,M,31.71,Metro Town,SAI KUNG
Pak Shek Kok | Tai Po Mid-levels,501,17000,2022-04-22 00:00:00,M,33.93,St Martin,TAI PO
Kwun Tong,540,21600,2022-04-22 00:00:00,H,40.0,Grand Central,KWUN TONG
Tsim Sha Tsui,543,19000,2022-04-22 00:00:00,M,34.99,The Victoria Towers,YAU TSIM MONG
Po Lam,631,19000,2022-04-22 00:00:00,H,30.11,The Metro City,SAI KUNG
Four Little Dragons,460,15600,2022-04-22 00:00:00,L,33.91,Banyan Garden,SHAM SHUI PO
Happy Valley,884,44000,2022-04-22 00:00:00,H,49.77,Regent Hill,WAN CHAI
Lohas Park,759,19500,2022-04-22 00:00:00,L,25.69,Lohas Park,SAI KUNG
Hang Hau,523,13800,2022-04-22 00:00:00,L,26.39,Oscar By The Sea,SAI KUNG
Diamond Hill,353,12800,2022-04-22 00:00:00,L,36.26,Lung Poon Court,WONG TAI SIN
Kowloon Bay,312,12300,2022-04-22 00:00:00,L,39.42,Lee Kee Building,KWUN TONG
